Province,Gender,Age,Income,BMI,PhysicalActivity,Smoking,SelfRatedHealth,StressLevel,BMI_Category,IncomeBracket,SelfRatedHealth_num
Newfoundland and Labrador,Male,40,67362.0,31.1,1.4,No,Fair,5,Obese,50-80k,2
Ontario,Male,52,53019.0,27.0,4.7,No,Very Good,5,Overweight,50-80k,4
Newfoundland and Labrador,Male,41,86204.0,24.8,4.7,No,Excellent,5,Normal,80-110k,5
Newfoundland and Labrador,Female,38,68685.0,25.6,1.7,No,Excellent,5,Overweight,50-80k,5
British Columbia,Female,79,125492.0,37.3,3.0,No,Good,5,Obese,>110k,3
Nova Scotia,Male,39,43246.0,18.5,0.0,No,Good,3,Normal,<50k,3
Quebec,Female,22,82073.0,29.7,2.5,No,Very Good,7,Overweight,80-110k,4
New Brunswick,Male,41,55441.0,18.8,4.3,Yes,Good,8,Normal,50-80k,3
New Brunswick,Female,51,68132.0,26.7,5.1,No,Good,9,Overweight,50-80k,3
Alberta,Male,23,80828.0,25.0,2.1,Yes,Fair,6,Overweight,80-110k,2
Ontario,Female,37,31493.0,16.8,5.6,No,Fair,6,Underweight,<50k,2
Prince Edward Island,Female,28,82737.0,29.1,0.5,Yes,Good,5,Overweight,80-110k,3
Saskatchewan,Female,49,116058.0,25.3,1.0,No,Fair,6,Overweight,>110k,2
Newfoundland and Labrador,Male,63,68931.0,16.7,4.9,No,Poor,6,Underweight,50-80k,1
Nova Scotia,Male,79,83196.0,31.4,6.8,No,Poor,5,Obese,80-110k,1
New Brunswick,Female,42,98498.0,34.4,4.5,No,Excellent,5,Obese,80-110k,5
New Brunswick,Female,72,74721.0,34.7,3.4,No,Poor,6,Obese,50-80k,1
Quebec,Female,31,66381.0,29.0,0.0,No,Poor,5,Overweight,50-80k,1
Alberta,Male,67,32485.0,27.4,0.0,No,Good,5,Overweight,<50k,3
Saskatchewan,Male,53,90820.0,33.8,3.8,No,Fair,9,Obese,80-110k,2
Saskatchewan,Female,65,75737.0,60.0,2.8,No,Excellent,10,Obese,50-80k,5
Ontario,Female,65,78130.0,32.9,1.3,No,Excellent,3,Obese,50-80k,5
Manitoba,Male,51,80532.0,22.5,3.6,No,Good,3,Normal,80-110k,3
Quebec,Male,34,66326.0,28.2,3.7,Yes,Good,3,Overweight,50-80k,3
New Brunswick,Female,51,67431.0,29.4,5.4,No,Good,5,Overweight,50-80k,3
Nova Scotia,Male,70,90126.0,27.3,3.8,No,Poor,7,Overweight,80-110k,1
Prince Edward Island,Female,79,51232.0,27.3,6.0,Yes,Good,6,Overweight,50-80k,3
New Brunswick,Female,76,98946.0,38.6,3.5,No,Fair,6,Obese,80-110k,2
Alberta,Male,29,50046.0,30.4,3.3,No,Fair,6,Obese,50-80k,2
Prince Edward Island,Male,55,64746.0,34.6,5.6,Yes,Good,4,Obese,50-80k,3
Saskatchewan,Male,24,116459.0,28.1,1.5,No,Fair,5,Overweight,>110k,2
Alberta,Female,60,100547.0,26.8,9.1,Yes,Fair,5,Overweight,80-110k,2
Prince Edward Island,Male,80,79952.0,29.1,4.3,No,Good,2,Overweight,50-80k,3
Alberta,Male,21,59189.0,23.1,4.3,Yes,Good,3,Normal,50-80k,3
Ontario,Female,59,67415.0,22.4,4.6,No,Fair,3,Normal,50-80k,2
Saskatchewan,Female,77,79466.0,33.5,7.3,No,Poor,7,Obese,50-80k,1
New Brunswick,Male,71,78750.0,34.1,5.1,No,Fair,6,Obese,50-80k,2
Quebec,Female,42,76183.0,22.2,0.3,Yes,Fair,6,Normal,50-80k,2
Saskatchewan,Male,24,77383.0,32.0,6.3,No,Very Good,1,Obese,50-80k,4
Quebec,Female,76,73712.0,26.8,2.8,No,Excellent,2,Overweight,50-80k,5
Nova Scotia,Female,76,49160.0,28.9,3.5,No,Good,7,Overweight,<50k,3
Saskatchewan,Female,54,67670.0,29.5,0.9,No,Good,1,Overweight,50-80k,3
Alberta,Male,79,96292.0,32.2,4.6,No,Very Good,8,Obese,80-110k,4
British Columbia,Female,18,50633.0,27.6,2.2,No,Very Good,1,Overweight,50-80k,4
Manitoba,Female,56,74209.0,34.3,3.7,No,Fair,7,Obese,50-80k,2
Nova Scotia,Male,20,61605.0,28.7,2.9,Yes,Fair,3,Overweight,50-80k,2
Prince Edward Island,Female,76,80227.0,30.3,7.4,No,Good,7,Obese,80-110k,3
Saskatchewan,Female,60,70227.0,23.0,7.5,No,Good,10,Normal,50-80k,3
Quebec,Female,75,107548.0,27.3,3.6,No,Fair,1,Overweight,80-110k,2
Newfoundland and Labrador,Female,53,88132.0,29.5,3.6,No,Good,7,Overweight,80-110k,3
Nova Scotia,Male,23,51764.0,30.8,2.8,No,Good,1,Obese,50-80k,3
New Brunswick,Male,19,91425.0,19.2,5.7,No,Good,6,Normal,80-110k,3
Ontario,Male,39,62507.0,23.1,2.8,No,Good,5,Normal,50-80k,3
Alberta,Male,64,66460.0,33.4,2.7,No,Very Good,5,Obese,50-80k,4
New Brunswick,Female,27,84276.0,28.6,5.5,No,Good,3,Overweight,80-110k,3
Newfoundland and Labrador,Female,71,68165.0,17.6,2.4,No,Fair,7,Underweight,50-80k,2
Saskatchewan,Male,33,95857.0,32.4,3.4,Yes,Fair,2,Obese,80-110k,2
Newfoundland and Labrador,Female,49,62510.0,24.5,0.3,No,Very Good,8,Normal,50-80k,4
Newfoundland and Labrador,Female,30,65621.0,34.3,4.9,No,Good,4,Obese,50-80k,3
Alberta,Male,47,64873.0,26.8,7.4,No,Poor,2,Overweight,50-80k,1
Newfoundland and Labrador,Female,46,66687.0,28.2,4.9,Yes,Good,9,Overweight,50-80k,3
British Columbia,Male,18,99984.0,33.1,6.4,No,Very Good,5,Obese,80-110k,4
British Columbia,Female,53,90576.0,22.7,1.8,No,Very Good,9,Normal,80-110k,4
Nova Scotia,Male,67,112199.0,22.2,4.0,No,Excellent,8,Normal,>110k,5
Nova Scotia,Male,76,123353.0,26.2,1.6,No,Very Good,4,Overweight,>110k,4
Quebec,Male,38,57386.0,31.3,3.0,No,Good,5,Obese,50-80k,3
Newfoundland and Labrador,Female,73,79408.0,27.3,5.0,No,Good,5,Overweight,50-80k,3
Quebec,Female,73,78130.0,18.9,3.7,Yes,Fair,8,Normal,50-80k,2
Newfoundland and Labrador,Female,80,62448.0,31.3,0.7,No,Very Good,6,Obese,50-80k,4
Ontario,Female,41,65398.0,24.2,0.9,Yes,Very Good,6,Normal,50-80k,4
New Brunswick,Female,71,56857.0,25.2,0.7,No,Fair,5,Overweight,50-80k,2
New Brunswick,Female,53,56962.0,17.9,4.5,Yes,Excellent,5,Underweight,50-80k,5
New Brunswick,Female,21,75114.0,23.8,7.6,No,Good,8,Normal,50-80k,3
Nova Scotia,Female,35,53666.0,27.2,6.2,No,Poor,5,Overweight,50-80k,1
Saskatchewan,Male,60,94843.0,31.9,0.0,No,Good,4,Obese,80-110k,3
New Brunswick,Male,28,59645.0,23.3,6.3,Yes,Excellent,4,Normal,50-80k,5
British Columbia,Male,45,134191.0,35.5,5.4,Yes,Excellent,4,Obese,>110k,5
New Brunswick,Male,66,68972.0,23.8,0.4,No,Good,2,Normal,50-80k,3
Manitoba,Male,27,79440.0,23.8,2.9,No,Excellent,4,Normal,50-80k,5
Saskatchewan,Male,49,52093.0,34.9,5.7,No,Excellent,8,Obese,50-80k,5
Manitoba,Female,31,112122.0,28.3,4.6,No,Very Good,5,Overweight,>110k,4
Manitoba,Female,51,100390.0,24.4,0.9,No,Excellent,7,Normal,80-110k,5
Ontario,Male,33,83938.0,26.4,4.7,No,Good,1,Overweight,80-110k,3
Quebec,Female,78,51064.0,34.0,0.0,No,Very Good,6,Obese,50-80k,4
British Columbia,Female,22,82213.0,34.5,3.1,No,Very Good,5,Obese,80-110k,4
Quebec,Male,78,55571.0,23.1,5.8,Yes,Very Good,4,Normal,50-80k,4
Saskatchewan,Female,67,107247.0,27.0,3.5,No,Fair,6,Overweight,80-110k,2
Nova Scotia,Female,71,94184.0,27.7,2.5,Yes,Very Good,4,Overweight,80-110k,4
Nova Scotia,Male,71,79909.0,22.3,5.3,No,Excellent,1,Normal,50-80k,5
Saskatchewan,Female,29,29272.0,26.9,5.4,No,Good,7,Overweight,<50k,3
Newfoundland and Labrador,Female,76,58332.0,27.2,6.1,Yes,Excellent,6,Overweight,50-80k,5
Manitoba,Female,55,91755.0,32.9,5.2,No,Good,5,Obese,80-110k,3
Ontario,Male,78,102258.0,33.2,3.5,No,Fair,3,Obese,80-110k,2
New Brunswick,Male,73,100183.0,25.6,5.0,No,Fair,2,Overweight,80-110k,2
Manitoba,Male,54,46160.0,26.1,4.0,Yes,Very Good,6,Overweight,<50k,4
Nova Scotia,Male,41,84031.0,30.5,3.7,No,Good,9,Obese,80-110k,3
Manitoba,Male,25,98310.0,24.3,3.0,No,Good,6,Normal,80-110k,3
Manitoba,Female,24,44833.0,30.1,1.1,No,Very Good,2,Obese,<50k,4
Ontario,Female,42,77842.0,26.8,1.6,Yes,Good,6,Overweight,50-80k,3
Manitoba,Male,69,83477.0,22.4,2.9,No,Good,5,Normal,80-110k,3
New Brunswick,Female,49,71985.0,22.4,4.0,No,Excellent,7,Normal,50-80k,5
Alberta,Male,48,40957.0,34.4,6.4,No,Very Good,6,Obese,<50k,4
Nova Scotia,Male,33,71486.0,26.4,3.4,Yes,Very Good,1,Overweight,50-80k,4
Ontario,Male,53,71454.0,35.4,5.5,No,Very Good,6,Obese,50-80k,4
Alberta,Male,58,75039.0,24.6,5.7,No,Excellent,3,Normal,50-80k,5
Saskatchewan,Male,79,66731.0,28.7,3.0,No,Fair,2,Overweight,50-80k,2
Prince Edward Island,Male,63,69140.0,39.2,4.7,No,Good,5,Obese,50-80k,3
British Columbia,Female,56,77206.0,21.9,3.0,Yes,Fair,6,Normal,50-80k,2
British Columbia,Male,75,86849.0,17.7,6.1,No,Good,2,Underweight,80-110k,3
Saskatchewan,Female,44,71911.0,33.6,4.8,No,Very Good,7,Obese,50-80k,4
Prince Edward Island,Male,76,69807.0,23.1,1.1,No,Very Good,7,Normal,50-80k,4
Newfoundland and Labrador,Female,41,79847.0,27.1,3.8,No,Good,5,Overweight,50-80k,3
Ontario,Male,26,39582.0,24.3,6.8,No,Poor,3,Normal,<50k,1
British Columbia,Female,44,87541.0,28.5,3.1,No,Very Good,3,Overweight,80-110k,4
Newfoundland and Labrador,Female,26,77989.0,22.4,4.4,Yes,Excellent,7,Normal,50-80k,5
Ontario,Male,25,78794.0,26.3,4.6,No,Good,2,Overweight,50-80k,3
Newfoundland and Labrador,Female,73,97215.0,29.4,1.4,Yes,Fair,7,Overweight,80-110k,2
British Columbia,Male,68,38944.0,22.2,4.5,Yes,Good,5,Normal,<50k,3
Prince Edward Island,Male,31,38523.0,23.7,0.7,No,Good,5,Normal,<50k,3
British Columbia,Male,70,83476.0,25.5,2.2,No,Good,2,Overweight,80-110k,3
Saskatchewan,Female,22,77858.0,20.1,5.7,No,Good,5,Normal,50-80k,3
Nova Scotia,Female,35,81404.0,25.1,4.2,No,Very Good,6,Overweight,80-110k,4
Quebec,Male,62,68757.0,27.8,2.9,Yes,Good,2,Overweight,50-80k,3
Manitoba,Male,37,91287.0,25.2,4.4,Yes,Good,6,Overweight,80-110k,3
Manitoba,Female,64,96653.0,25.8,3.4,Yes,Poor,5,Overweight,80-110k,1
New Brunswick,Male,73,87680.0,27.1,3.5,No,Excellent,4,Overweight,80-110k,5
Prince Edward Island,Male,22,72783.0,23.9,4.8,No,Good,7,Normal,50-80k,3
Nova Scotia,Male,19,35846.0,30.7,2.0,No,Good,1,Obese,<50k,3
Saskatchewan,Female,77,93385.0,34.4,3.6,No,Fair,6,Obese,80-110k,2
Saskatchewan,Male,50,102435.0,24.9,2.9,No,Very Good,9,Normal,80-110k,4
Saskatchewan,Male,49,90891.0,29.6,0.3,No,Excellent,8,Overweight,80-110k,5
Newfoundland and Labrador,Female,47,60407.0,26.0,1.7,Yes,Poor,5,Overweight,50-80k,1
Alberta,Female,45,91476.0,29.0,6.6,No,Fair,5,Overweight,80-110k,2
Quebec,Female,61,95211.0,35.0,4.3,No,Fair,4,Obese,80-110k,2
Alberta,Male,54,109176.0,29.7,0.9,No,Very Good,5,Overweight,80-110k,4
Ontario,Male,28,60478.0,18.3,0.4,No,Excellent,6,Underweight,50-80k,5
Quebec,Female,57,73471.0,29.5,3.3,Yes,Good,4,Overweight,50-80k,3
Ontario,Female,60,92945.0,33.4,6.6,No,Good,7,Obese,80-110k,3
New Brunswick,Male,25,79148.0,26.1,3.1,No,Very Good,10,Overweight,50-80k,4
New Brunswick,Female,41,55653.0,32.2,6.1,No,Very Good,5,Obese,50-80k,4
Nova Scotia,Male,67,86292.0,23.7,4.2,No,Fair,2,Normal,80-110k,2
Saskatchewan,Female,56,89573.0,19.8,4.4,No,Fair,2,Normal,80-110k,2
New Brunswick,Female,26,79759.0,27.9,0.8,No,Good,7,Overweight,50-80k,3
Quebec,Male,20,82392.0,18.4,5.4,No,Very Good,5,Underweight,80-110k,4
Prince Edward Island,Female,54,72826.0,45.0,2.8,No,Very Good,7,Obese,50-80k,4
Manitoba,Female,47,107566.0,33.6,5.2,Yes,Very Good,4,Obese,80-110k,4
Prince Edward Island,Female,78,59986.0,17.7,1.9,No,Very Good,7,Underweight,50-80k,4
Quebec,Male,50,66254.0,20.8,3.9,No,Good,5,Normal,50-80k,3
Saskatchewan,Male,76,78220.0,22.0,4.2,No,Good,4,Normal,50-80k,3
Nova Scotia,Female,31,95579.0,26.9,3.2,No,Poor,4,Overweight,80-110k,1
Saskatchewan,Female,46,48053.0,25.4,4.3,No,Excellent,3,Overweight,<50k,5
Saskatchewan,Male,26,51794.0,34.2,3.0,Yes,Very Good,9,Obese,50-80k,4
Quebec,Male,54,37245.0,32.0,2.2,No,Good,5,Obese,<50k,3
Alberta,Female,29,78654.0,29.7,6.7,No,Poor,7,Overweight,50-80k,1
British Columbia,Female,49,55634.0,27.9,5.6,No,Very Good,4,Overweight,50-80k,4
Alberta,Female,39,70309.0,29.2,2.0,No,Very Good,3,Overweight,50-80k,4
Nova Scotia,Female,29,91228.0,22.9,4.6,No,Very Good,5,Normal,80-110k,4
Nova Scotia,Female,24,65169.0,31.5,2.0,No,Fair,8,Obese,50-80k,2
Nova Scotia,Female,50,82626.0,21.6,1.1,Yes,Excellent,4,Normal,80-110k,5
Alberta,Male,77,72013.0,31.4,5.6,No,Very Good,3,Obese,50-80k,4
Prince Edward Island,Male,30,91442.0,33.1,0.1,No,Very Good,6,Obese,80-110k,4
Ontario,Female,43,87503.0,28.3,5.4,No,Very Good,6,Overweight,80-110k,4
Alberta,Female,32,64161.0,26.3,3.0,Yes,Excellent,9,Overweight,50-80k,5
Quebec,Female,68,74627.0,29.2,3.1,No,Excellent,6,Overweight,50-80k,5
Alberta,Female,44,98875.0,27.3,4.3,No,Very Good,7,Overweight,80-110k,4
Prince Edward Island,Female,79,85868.0,28.7,4.7,No,Good,7,Overweight,80-110k,3
Alberta,Female,33,50061.0,26.6,1.8,No,Good,3,Overweight,50-80k,3
Prince Edward Island,Female,23,91112.0,26.9,4.9,No,Very Good,3,Overweight,80-110k,4
Saskatchewan,Male,54,56308.0,30.7,3.7,No,Very Good,3,Obese,50-80k,4
Nova Scotia,Male,59,106250.0,26.8,1.0,No,Poor,2,Overweight,80-110k,1
Saskatchewan,Female,80,98482.0,21.5,3.2,No,Fair,7,Normal,80-110k,2
British Columbia,Female,72,83798.0,26.5,6.3,Yes,Excellent,6,Overweight,80-110k,5
New Brunswick,Female,73,81145.0,27.5,6.9,Yes,Excellent,5,Overweight,80-110k,5
Prince Edward Island,Male,57,73819.0,27.8,4.9,No,Excellent,1,Overweight,50-80k,5
British Columbia,Female,40,91570.0,28.0,1.1,No,Good,10,Overweight,80-110k,3
New Brunswick,Male,45,70584.0,32.4,4.5,No,Very Good,3,Obese,50-80k,4
British Columbia,Male,26,82711.0,21.8,5.2,No,Very Good,10,Normal,80-110k,4
New Brunswick,Male,45,95439.0,28.1,5.0,No,Good,2,Overweight,80-110k,3
New Brunswick,Female,40,66764.0,33.6,5.1,Yes,Fair,3,Obese,50-80k,2
Saskatchewan,Female,20,65676.0,18.5,4.2,No,Excellent,1,Normal,50-80k,5
New Brunswick,Male,30,54113.0,28.1,3.4,No,Poor,6,Overweight,50-80k,1
British Columbia,Female,51,78130.0,24.3,2.3,No,Very Good,3,Normal,50-80k,4
Ontario,Female,41,41432.0,25.3,0.0,No,Very Good,3,Overweight,<50k,4
Ontario,Male,80,92597.0,22.7,4.2,No,Very Good,2,Normal,80-110k,4
Saskatchewan,Male,48,114178.0,26.4,3.9,No,Good,7,Overweight,>110k,3
Prince Edward Island,Male,78,106507.0,36.4,4.6,No,Very Good,7,Obese,80-110k,4
Quebec,Male,59,45478.0,20.9,0.8,No,Fair,9,Normal,<50k,2
Saskatchewan,Male,20,92497.0,27.3,4.8,No,Very Good,4,Overweight,80-110k,4
New Brunswick,Female,30,78130.0,20.7,7.6,No,Fair,6,Normal,50-80k,2
British Columbia,Male,62,68864.0,35.8,3.7,No,Very Good,2,Obese,50-80k,4
New Brunswick,Male,52,80029.0,24.9,3.4,No,Very Good,4,Normal,80-110k,4
Alberta,Female,37,37842.0,27.1,4.1,No,Fair,4,Overweight,<50k,2
Newfoundland and Labrador,Male,50,83335.0,25.2,7.6,No,Fair,6,Overweight,80-110k,2
Manitoba,Male,74,56729.0,22.5,1.5,Yes,Very Good,7,Normal,50-80k,4
Manitoba,Male,42,81993.0,26.0,3.9,No,Fair,7,Overweight,80-110k,2
Quebec,Male,20,46776.0,39.5,1.9,No,Fair,3,Obese,<50k,2
Saskatchewan,Female,37,88857.0,34.2,2.4,Yes,Good,7,Obese,80-110k,3
Newfoundland and Labrador,Male,76,98490.0,22.9,3.4,No,Excellent,5,Normal,80-110k,5
Ontario,Female,65,62336.0,30.4,6.2,Yes,Good,5,Obese,50-80k,3
New Brunswick,Male,70,55262.0,23.0,7.1,Yes,Good,4,Normal,50-80k,3
Saskatchewan,Female,75,34880.0,18.3,4.4,No,Excellent,4,Underweight,<50k,5
New Brunswick,Female,25,5000.0,32.3,2.7,No,Good,9,Obese,<50k,3
Nova Scotia,Male,35,66368.0,33.0,8.5,No,Good,6,Obese,50-80k,3
Saskatchewan,Male,21,46980.0,32.4,2.6,No,Good,6,Obese,<50k,3
Alberta,Male,18,87060.0,24.9,2.4,No,Good,5,Normal,80-110k,3
Nova Scotia,Female,70,69001.0,26.4,0.0,No,Good,10,Overweight,50-80k,3
Quebec,Female,77,56485.0,30.9,6.3,No,Very Good,8,Obese,50-80k,4
Manitoba,Female,27,78130.0,29.2,5.4,No,Poor,4,Overweight,50-80k,1
Ontario,Female,63,99426.0,25.2,8.3,Yes,Very Good,5,Overweight,80-110k,4
Nova Scotia,Female,51,90059.0,19.1,0.7,No,Fair,5,Normal,80-110k,2
Nova Scotia,Female,22,75399.0,27.8,6.4,Yes,Good,6,Overweight,50-80k,3
Ontario,Male,75,90382.0,32.6,3.6,No,Fair,5,Obese,80-110k,2
New Brunswick,Male,72,54782.0,21.2,5.1,No,Good,6,Normal,50-80k,3
Saskatchewan,Female,53,78647.0,30.4,0.2,No,Very Good,8,Obese,50-80k,4
New Brunswick,Female,62,80946.0,28.9,6.4,No,Good,2,Overweight,80-110k,3
Ontario,Male,43,68603.0,31.0,5.1,No,Fair,3,Obese,50-80k,2
Quebec,Female,67,86709.0,31.6,3.4,Yes,Fair,4,Obese,80-110k,2
Saskatchewan,Male,46,62391.0,23.7,4.8,No,Very Good,4,Normal,50-80k,4
Quebec,Female,80,88196.0,19.1,2.0,No,Good,9,Normal,80-110k,3
Alberta,Male,21,89037.0,24.5,2.3,No,Very Good,7,Normal,80-110k,4
Nova Scotia,Female,28,19657.0,31.6,2.6,No,Good,7,Obese,<50k,3
Quebec,Male,79,101806.0,24.5,0.0,Yes,Fair,5,Normal,80-110k,2
Nova Scotia,Male,36,17047.0,23.7,5.2,Yes,Very Good,5,Normal,<50k,4
Quebec,Male,37,65679.0,18.1,5.9,No,Good,2,Underweight,50-80k,3
Quebec,Female,67,98507.0,36.0,2.1,No,Poor,7,Obese,80-110k,1
Manitoba,Male,29,71654.0,31.3,4.2,Yes,Excellent,6,Obese,50-80k,5
New Brunswick,Female,50,48676.0,31.0,3.0,No,Fair,8,Obese,<50k,2
Quebec,Female,36,56125.0,27.3,4.2,No,Good,5,Overweight,50-80k,3
British Columbia,Female,30,98538.0,30.1,2.2,No,Good,5,Obese,80-110k,3
Prince Edward Island,Female,78,39570.0,26.0,1.7,No,Good,6,Overweight,<50k,3
Prince Edward Island,Male,30,100580.0,26.4,5.6,Yes,Very Good,7,Overweight,80-110k,4
Manitoba,Female,23,76898.0,25.1,3.4,No,Poor,2,Overweight,50-80k,1
Saskatchewan,Male,60,54152.0,40.4,7.5,No,Excellent,7,Obese,50-80k,5
Alberta,Male,72,66338.0,30.0,3.6,No,Very Good,5,Obese,50-80k,4
Nova Scotia,Female,26,57656.0,24.9,1.6,Yes,Excellent,3,Normal,50-80k,5
Manitoba,Male,62,95325.0,29.5,6.0,Yes,Very Good,1,Overweight,80-110k,4
British Columbia,Male,52,92649.0,22.1,4.8,No,Excellent,5,Normal,80-110k,5
Ontario,Female,70,43617.0,34.7,5.0,Yes,Very Good,8,Obese,<50k,4
Quebec,Male,25,69928.0,23.9,5.9,No,Good,9,Normal,50-80k,3
Prince Edward Island,Male,79,60736.0,29.7,2.2,No,Good,6,Overweight,50-80k,3
Saskatchewan,Female,57,103870.0,32.5,3.2,No,Very Good,9,Obese,80-110k,4
Saskatchewan,Male,71,50998.0,29.1,3.2,No,Good,5,Overweight,50-80k,3
Saskatchewan,Female,40,110085.0,27.7,0.9,No,Very Good,7,Overweight,>110k,4
New Brunswick,Male,77,77334.0,27.3,3.0,No,Fair,4,Overweight,50-80k,2
Ontario,Male,57,54761.0,26.9,6.2,No,Very Good,4,Overweight,50-80k,4
Ontario,Female,25,64455.0,24.3,4.0,No,Fair,4,Normal,50-80k,2
British Columbia,Male,76,61968.0,25.0,0.8,No,Excellent,1,Overweight,50-80k,5
Saskatchewan,Female,68,52508.0,34.6,0.4,No,Fair,8,Obese,50-80k,2
Nova Scotia,Female,36,79897.0,26.7,6.8,No,Fair,4,Overweight,50-80k,2
Saskatchewan,Female,52,53442.0,23.3,3.3,No,Very Good,4,Normal,50-80k,4
Saskatchewan,Female,42,34393.0,24.6,2.2,No,Very Good,3,Normal,<50k,4
Prince Edward Island,Female,52,70406.0,32.7,3.0,No,Very Good,5,Obese,50-80k,4
Quebec,Male,78,41943.0,30.6,0.5,No,Excellent,9,Obese,<50k,5
Manitoba,Female,74,62957.0,30.0,6.3,No,Good,10,Obese,50-80k,3
Manitoba,Male,31,59818.0,25.9,2.7,No,Very Good,2,Overweight,50-80k,4
Saskatchewan,Female,79,60576.0,30.1,6.2,No,Good,4,Obese,50-80k,3
Newfoundland and Labrador,Male,45,118019.0,24.0,3.6,No,Good,3,Normal,>110k,3
British Columbia,Male,62,79128.0,25.9,6.4,No,Good,7,Overweight,50-80k,3
Prince Edward Island,Male,66,82907.0,32.0,4.0,No,Poor,6,Obese,80-110k,1
Alberta,Male,48,42472.0,31.6,5.2,Yes,Very Good,4,Obese,<50k,4
Manitoba,Female,46,64921.0,22.3,4.9,No,Very Good,5,Normal,50-80k,4
Manitoba,Female,46,82306.0,27.3,4.7,No,Fair,4,Overweight,80-110k,2
Newfoundland and Labrador,Female,72,57509.0,27.7,4.2,No,Excellent,9,Overweight,50-80k,5
Saskatchewan,Male,42,96161.0,35.8,3.0,No,Good,6,Obese,80-110k,3
British Columbia,Female,35,53946.0,17.6,7.3,No,Fair,7,Underweight,50-80k,2
Ontario,Male,40,72273.0,28.6,1.7,No,Very Good,5,Overweight,50-80k,4
Alberta,Male,30,66279.0,20.3,3.5,Yes,Fair,5,Normal,50-80k,2
Newfoundland and Labrador,Male,42,81286.0,24.0,3.5,No,Poor,10,Normal,80-110k,1
Ontario,Male,25,65190.0,25.4,4.3,No,Very Good,8,Overweight,50-80k,4
Newfoundland and Labrador,Female,23,72582.0,25.1,2.6,No,Fair,1,Overweight,50-80k,2
Manitoba,Female,63,73277.0,24.5,4.1,No,Fair,5,Normal,50-80k,2
Quebec,Female,22,63312.0,27.2,3.2,No,Very Good,3,Overweight,50-80k,4
Alberta,Male,53,87702.0,24.5,0.3,No,Poor,9,Normal,80-110k,1
Manitoba,Male,67,82768.0,19.9,3.5,No,Very Good,6,Normal,80-110k,4
